127.0.0.1, 2013-11-04 18:24:23, POST, /server_manage/appadmin/_TEST, HTTP/1.1, 200, 1.522392
127.0.0.1, 2013-11-04 18:24:23, POST, /server_manage/default/_TEST, HTTP/1.1, 200, 1.544342
127.0.0.1, 2013-11-04 18:24:30, GET, /admin/default/design/server_manage, HTTP/1.1, 200, 0.084349
127.0.0.1, 2013-11-04 18:24:31, GET, /favicon.ico, HTTP/1.1, 400, 0.000313
127.0.0.1, 2013-11-04 18:24:54, GET, /server_manage/appadmin/index, HTTP/1.1, 200, 0.462071
127.0.0.1, 2013-11-04 18:24:54, GET, /server_manage/static/js/jquery.js, HTTP/1.1, 200, 0.003101
127.0.0.1, 2013-11-04 18:24:54, GET, /server_manage/static/css/web2py.css, HTTP/1.1, 200, 0.004322
127.0.0.1, 2013-11-04 18:24:54, GET, /server_manage/static/css/calendar.css, HTTP/1.1, 200, 0.005522
127.0.0.1, 2013-11-04 18:24:54, GET, /server_manage/static/js/web2py.js, HTTP/1.1, 200, 0.002641
127.0.0.1, 2013-11-04 18:24:54, GET, /server_manage/static/js/calendar.js, HTTP/1.1, 200, 0.001488
127.0.0.1, 2013-11-04 18:24:54, GET, /server_manage/static/js/modernizr.custom.js, HTTP/1.1, 200, 0.011360
127.0.0.1, 2013-11-04 18:24:54, GET, /server_manage/static/css/bootstrap-responsive.min.css, HTTP/1.1, 200, 0.000843
127.0.0.1, 2013-11-04 18:24:54, GET, /server_manage/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.001109
127.0.0.1, 2013-11-04 18:24:54, GET, /server_manage/static/js/bootstrap.min.js, HTTP/1.1, 200, 0.001203
127.0.0.1, 2013-11-04 18:24:54, GET, /server_manage/static/css/web2py_bootstrap.css, HTTP/1.1, 200, 0.001009
127.0.0.1, 2013-11-04 18:24:54, GET, /server_manage/static/js/web2py_bootstrap.js, HTTP/1.1, 200, 0.001036
127.0.0.1, 2013-11-04 18:24:54, GET, /server_manage/static/js/share.js, HTTP/1.1, 200, 0.000960
127.0.0.1, 2013-11-04 18:24:54, GET, /server_manage/static/images/twitter.png, HTTP/1.1, 200, 0.001337
127.0.0.1, 2013-11-04 18:24:54, GET, /server_manage/static/images/facebook.png, HTTP/1.1, 200, 0.002775
127.0.0.1, 2013-11-04 18:24:54, GET, /server_manage/static/images/gplus-32.png, HTTP/1.1, 200, 0.005169
127.0.0.1, 2013-11-04 18:24:54, GET, /server_manage/static/images/favicon.ico, HTTP/1.1, 200, 0.001029
127.0.0.1, 2013-11-04 18:25:00, GET, /server_manage/appadmin/select/db, HTTP/1.1, 200, 0.511605
127.0.0.1, 2013-11-04 18:25:10, GET, /server_manage/appadmin/index, HTTP/1.1, 200, 0.417477
127.0.0.1, 2013-11-04 18:25:12, GET, /server_manage/appadmin/insert/db/auth_user, HTTP/1.1, 200, 0.479686
127.0.0.1, 2013-11-04 18:25:22, GET, /server_manage/appadmin/index, HTTP/1.1, 200, 0.421449
127.0.0.1, 2013-11-04 18:25:23, GET, /admin/default/design/server_manage, HTTP/1.1, 200, 0.296435
127.0.0.1, 2013-11-04 18:25:24, GET, /favicon.ico, HTTP/1.1, 400, 0.000982
127.0.0.1, 2013-11-04 18:25:30, GET, /, HTTP/1.1, 303, 0.001653
127.0.0.1, 2013-11-04 18:25:31, GET, /welcome/default/index, HTTP/1.1, 200, 0.128250
127.0.0.1, 2013-11-04 18:25:39, GET, /welcome/default/index, HTTP/1.1, 200, 0.089608
127.0.0.1, 2013-11-04 18:25:49, GET, /admin/default/index, HTTP/1.1, 303, 0.007864
127.0.0.1, 2013-11-04 18:25:49, GET, /admin/default/site, HTTP/1.1, 200, 0.040937
127.0.0.1, 2013-11-04 18:25:57, POST, /admin/default/enable/welcome, HTTP/1.1, 200, 0.028433
127.0.0.1, 2013-11-04 18:25:59, POST, /admin/default/enable/examples, HTTP/1.1, 200, 0.032188
127.0.0.1, 2013-11-04 18:26:05, GET, /, HTTP/1.1, 303, 0.002007
127.0.0.1, 2013-11-04 18:26:06, GET, /welcome/default/index, HTTP/1.1, 200, 0.092161
127.0.0.1, 2013-11-04 18:26:12, GET, /admin/default/index, HTTP/1.1, 303, 0.010167
127.0.0.1, 2013-11-04 18:26:12, GET, /admin/default/site, HTTP/1.1, 200, 0.095977
127.0.0.1, 2013-11-04 18:26:12, GET, /favicon.ico, HTTP/1.1, 400, 0.000653
127.0.0.1, 2013-11-04 18:26:27, GET, /admin/default/site, HTTP/1.1, 200, 0.105094
127.0.0.1, 2013-11-04 18:26:48, GET, /favicon.ico, HTTP/1.1, 400, 0.000927
127.0.0.1, 2013-11-04 18:26:48, GET, /server_manage/default/index, HTTP/1.1, 200, 0.097643
127.0.0.1, 2013-11-04 18:26:58, GET, /admin/default/index, HTTP/1.1, 303, 0.009073
127.0.0.1, 2013-11-04 18:26:58, GET, /admin/default/site, HTTP/1.1, 200, 0.090645
127.0.0.1, 2013-11-04 18:27:01, GET, /favicon.ico, HTTP/1.1, 400, 0.000191
127.0.0.1, 2013-11-04 18:27:01, GET, /server_manage/default/index, HTTP/1.1, 200, 0.097187
127.0.0.1, 2013-11-04 18:27:09, GET, /admin/default/site, HTTP/1.1, 200, 0.045625
127.0.0.1, 2013-11-04 18:27:21, GET, /favicon.ico, HTTP/1.1, 400, 0.000225
127.0.0.1, 2013-11-04 18:27:22, GET, /welcome/default/index, HTTP/1.1, 200, 0.454272
127.0.0.1, 2013-11-04 18:27:25, GET, /admin/default/site, HTTP/1.1, 200, 0.102758
127.0.0.1, 2013-11-04 18:27:29, GET, /, HTTP/1.1, 303, 0.001615
127.0.0.1, 2013-11-04 18:27:29, GET, /welcome/default/index, HTTP/1.1, 200, 0.090399
127.0.0.1, 2013-11-04 18:27:32, GET, /welcome/default/index, HTTP/1.1, 200, 0.089471
127.0.0.1, 2013-11-04 18:27:35, GET, /welcome/static/images/glyphicons-halflings.png, HTTP/1.1, 200, 0.003520
127.0.0.1, 2013-11-04 18:27:36, GET, /welcome/static/images/glyphicons-halflings-white.png, HTTP/1.1, 200, 0.001948
127.0.0.1, 2013-11-04 18:27:37, GET, /welcome/default/user/login, HTTP/1.1, 200, 0.102997
127.0.0.1, 2013-11-04 18:27:41, GET, /welcome/default/user/register, HTTP/1.1, 200, 0.102855
127.0.0.1, 2013-11-04 18:27:45, GET, /welcome/default/user/login, HTTP/1.1, 200, 0.454546
127.0.0.1, 2013-11-04 18:27:46, GET, /welcome/default/index, HTTP/1.1, 200, 0.108726
127.0.0.1, 2013-11-04 18:27:54, GET, /welcome/default/index, HTTP/1.1, 200, 0.409135
127.0.0.1, 2013-11-04 18:27:56, GET, /welcome/default/index, HTTP/1.1, 200, 0.095295
127.0.0.1, 2013-11-04 18:28:00, GET, /, HTTP/1.1, 303, 0.002028
127.0.0.1, 2013-11-04 18:28:00, GET, /welcome/default/index, HTTP/1.1, 200, 0.086898
127.0.0.1, 2013-11-04 18:28:03, GET, /admin/default/index, HTTP/1.1, 303, 0.013780
127.0.0.1, 2013-11-04 18:28:03, GET, /admin/default/site, HTTP/1.1, 200, 0.090700
127.0.0.1, 2013-11-04 18:28:06, GET, /admin/default/reload_routes, HTTP/1.1, 303, 0.030921
127.0.0.1, 2013-11-04 18:28:06, GET, /admin/default/site, HTTP/1.1, 200, 0.091196
127.0.0.1, 2013-11-04 18:28:13, GET, /favicon.ico, HTTP/1.1, 400, 0.000673
127.0.0.1, 2013-11-04 18:28:13, GET, /admin/default/site, HTTP/1.1, 200, 0.100837
127.0.0.1, 2013-11-04 18:28:15, GET, /favicon.ico, HTTP/1.1, 400, 0.001481
127.0.0.1, 2013-11-04 18:28:15, GET, /admin/default/site, HTTP/1.1, 200, 0.098059
127.0.0.1, 2013-11-04 18:28:20, GET, /favicon.ico, HTTP/1.1, 400, 0.001341
127.0.0.1, 2013-11-04 18:28:20, GET, /admin/default/design/server_manage, HTTP/1.1, 200, 0.292540
127.0.0.1, 2013-11-04 18:28:20, GET, /favicon.ico, HTTP/1.1, 400, 0.000547
127.0.0.1, 2013-11-04 18:28:38, GET, /favicon.ico, HTTP/1.1, 400, 0.000866
127.0.0.1, 2013-11-04 18:28:42, GET, /admin/default/peek/server_manage/models/menu.py, HTTP/1.1, 200, 0.087465
127.0.0.1, 2013-11-04 18:28:42, GET, /favicon.ico, HTTP/1.1, 400, 0.000513
127.0.0.1, 2013-11-04 18:28:58, GET, /admin/default/design/server_manage, HTTP/1.1, 200, 0.286816
127.0.0.1, 2013-11-04 18:28:59, GET, /favicon.ico, HTTP/1.1, 400, 0.000519
127.0.0.1, 2013-11-04 18:29:16, GET, /admin/default/peek/server_manage/views/default/index.html, HTTP/1.1, 200, 0.061483
127.0.0.1, 2013-11-04 18:29:16, GET, /favicon.ico, HTTP/1.1, 400, 0.000510
127.0.0.1, 2013-11-04 18:29:22, GET, /admin/default/design/server_manage, HTTP/1.1, 200, 0.282852
127.0.0.1, 2013-11-04 18:29:23, GET, /favicon.ico, HTTP/1.1, 400, 0.000820
127.0.0.1, 2013-11-04 18:29:28, GET, /admin/default/peek/server_manage/modules/__init__.py, HTTP/1.1, 200, 0.050455
127.0.0.1, 2013-11-04 18:29:30, GET, /favicon.ico, HTTP/1.1, 400, 0.001114
127.0.0.1, 2013-11-04 18:29:31, GET, /admin/default/design/server_manage, HTTP/1.1, 200, 0.293206
127.0.0.1, 2013-11-04 18:29:31, GET, /favicon.ico, HTTP/1.1, 400, 0.000795
127.0.0.1, 2013-11-04 18:29:37, GET, /admin/default/design/server_manage, HTTP/1.1, 200, 0.359220
127.0.0.1, 2013-11-04 18:29:37, GET, /favicon.ico, HTTP/1.1, 400, 0.000855
127.0.0.1, 2013-11-04 18:29:39, GET, /admin/mercurial/commit/server_manage, HTTP/1.1, 200, 0.254359
127.0.0.1, 2013-11-04 18:29:40, GET, /favicon.ico, HTTP/1.1, 400, 0.000543
127.0.0.1, 2013-11-04 18:29:42, GET, /admin/default/site, HTTP/1.1, 200, 0.091693
127.0.0.1, 2013-11-04 18:29:45, GET, /favicon.ico, HTTP/1.1, 400, 0.000930
127.0.0.1, 2013-11-04 18:30:02, GET, /admin/wizard/index, HTTP/1.1, 200, 0.045285
